rectangle_coordinates,buildings_num,district_num
"[[33.84097803550767, -14.291181725303705], [33.85025863115893, -14.291181725303705], [33.85025863115893, -14.300174941362894], [33.84097803550767, -14.300174941362894]]",511,lilongwe_11
"[[33.51457711115621, -14.009875058637105], [33.52384622217719, -14.009875058637105], [33.52384622217719, -14.018868274696294], [33.51457711115621, -14.018868274696294]]",217,lilongwe_12
"[[33.367186289059724, -13.967973391970405], [33.376453710940275, -13.967973391970405], [33.376453710940275, -13.976966608029594], [33.367186289059724, -13.976966608029594]]",290,lilongwe_13
"[[33.69868864799983, -14.180266725303706], [33.707964685333565, -14.180266725303706], [33.707964685333565, -14.189259941362895], [33.69868864799983, -14.189259941362895]]",164,lilongwe_14
"[[33.46855635284188, -14.129425058637105], [33.47783031382472, -14.129425058637105], [33.47783031382472, -14.138418274696294], [33.46855635284188, -14.138418274696294]]",78,lilongwe_15
"[[33.84507374014203, -14.094015058637106], [33.85434625985798, -14.094015058637106], [33.85434625985798, -14.103008274696295], [33.84507374014203, -14.103008274696295]]",238,lilongwe_16
"[[33.82467700840597, -14.014963391970406], [33.833946324927425, -14.014963391970406], [33.833946324927425, -14.023956608029595], [33.82467700840597, -14.023956608029595]]",3126,lilongwe_17
"[[33.43880443210834, -13.726663391970405], [33.448062234558265, -13.726663391970405], [33.448062234558265, -13.735656608029593], [33.43880443210834, -13.735656608029593]]",419,lilongwe_18
"[[33.6585246632136, -14.130551725303706], [33.66779867011981, -14.130551725303706], [33.66779867011981, -14.139544941362894], [33.6585246632136, -14.139544941362894]]",388,lilongwe_19
"[[33.714675661620625, -13.748788391970406], [33.72393433837937, -13.748788391970406], [33.72393433837937, -13.757781608029594], [33.714675661620625, -13.757781608029594]]",415,lilongwe_20
"[[33.509210853452764, -13.823145058637106], [33.518472479880636, -13.823145058637106], [33.518472479880636, -13.832138274696295], [33.509210853452764, -13.832138274696295]]",598,lilongwe_21
"[[33.427630675031494, -13.578396725303707], [33.43688265830191, -13.578396725303707], [33.43688265830191, -13.587389941362895], [33.427630675031494, -13.587389941362895]]",502,lilongwe_22
"[[33.67751235460606, -14.243326725303707], [33.68679097872734, -14.243326725303707], [33.68679097872734, -14.252319941362895], [33.67751235460606, -14.252319941362895]]",147,lilongwe_23
"[[33.422197990905296, -13.966225058637106], [33.431465342428105, -13.966225058637106], [33.431465342428105, -13.975218274696294], [33.422197990905296, -13.975218274696294]]",333,lilongwe_24
"[[33.47365187931851, -14.103565058637106], [33.4829247873481, -14.103565058637106], [33.4829247873481, -14.112558274696294], [33.47365187931851, -14.112558274696294]]",358,lilongwe_25
"[[33.35856455453753, -13.720460058637105], [33.36782211212907, -13.720460058637105], [33.36782211212907, -13.729453274696294], [33.35856455453753, -13.729453274696294]]",269,lilongwe_26
"[[33.75655140031295, -13.879310058637106], [33.76581526635365, -13.879310058637106], [33.76581526635365, -13.888303274696295], [33.75655140031295, -13.888303274696295]]",2629,lilongwe_city_1
